XYZ, XYZ, Coal, XYZ, 163.205853844
XYZ, XYZ, Coal, Shadow, 163.505866856
XYZ, XYZ, Coal, Higher, 162.912507787
XYZ, XYZ, Gasoline, XYZ, 161.132430579
XYZ, XYZ, Gasoline, Shadow, 160.474924583
XYZ, XYZ, Gasoline, Higher, 159.852024166
XYZ, XYZ, Ngas, XYZ, 158.762037168
XYZ, XYZ, Ngas, Shadow, 159.047197277
XYZ, XYZ, Ngas, Higher, 157.948802781
XYZ, Shadow, Coal, XYZ, 168.532315691
XYZ, Shadow, Coal, Shadow, 168.825405962
XYZ, Shadow, Coal, Higher, 168.245738537
XYZ, Shadow, Gasoline, XYZ, 166.50673626
XYZ, Shadow, Gasoline, Shadow, 165.864402086
XYZ, Shadow, Gasoline, Higher, 165.255874973
XYZ, Shadow, Ngas, XYZ, 164.191039211
XYZ, Shadow, Ngas, Shadow, 164.469619307
XYZ, Shadow, Ngas, Higher, 163.396570048
XYZ, Higher, Coal, XYZ, 176.009700255
XYZ, Higher, Coal, Shadow, 176.338716129
XYZ, Higher, Coal, Higher, 175.687995844
XYZ, Higher, Gasoline, XYZ, 173.735834988
XYZ, Higher, Gasoline, Shadow, 173.014766564
XYZ, Higher, Gasoline, Higher, 172.331649109
XYZ, Higher, Ngas, XYZ, 171.136290874
XYZ, Higher, Ngas, Shadow, 171.449017985
XYZ, Higher, Ngas, Higher, 170.244439482
Compressed, XYZ, Coal, XYZ, 163.135241806
Compressed, XYZ, Coal, Shadow, 163.435156556
Compressed, XYZ, Coal, Higher, 162.841991829
Compressed, XYZ, Gasoline, XYZ, 161.062497646
Compressed, XYZ, Gasoline, Shadow, 160.405207003
Compressed, XYZ, Gasoline, Higher, 159.782510603
Compressed, XYZ, Ngas, XYZ, 158.692880607
Compressed, XYZ, Ngas, Shadow, 158.977947319
Compressed, XYZ, Ngas, Higher, 157.879912578
Compressed, Shadow, Coal, XYZ, 168.456113938
Compressed, Shadow, Coal, Shadow, 168.749104944
Compressed, Shadow, Coal, Higher, 168.169633844
Compressed, Shadow, Gasoline, XYZ, 166.431220545
Compressed, Shadow, Gasoline, Shadow, 165.789103921
Compressed, Shadow, Gasoline, Higher, 165.180782909
Compressed, Shadow, Ngas, XYZ, 164.116307793
Compressed, Shadow, Ngas, Shadow, 164.394793538
Compressed, Shadow, Ngas, Higher, 163.322107707
Compressed, Higher, Coal, XYZ, 175.927574346
Compressed, Higher, Coal, Shadow, 176.25647049
Compressed, Higher, Coal, Higher, 175.605987005
Compressed, Higher, Gasoline, XYZ, 173.65453655
Compressed, Higher, Gasoline, Shadow, 172.933730526
Compressed, Higher, Gasoline, Higher, 172.250861661
Compressed, Higher, Ngas, XYZ, 171.055938423
Compressed, Higher, Ngas, Shadow, 171.368551731
Compressed, Higher, Ngas, Higher, 170.16441158
Higher, XYZ, Coal, XYZ, 162.854157171
Higher, XYZ, Coal, Shadow, 163.153680767
Higher, XYZ, Coal, Higher, 162.561289655
Higher, XYZ, Gasoline, XYZ, 160.784116318
Higher, XYZ, Gasoline, Shadow, 160.127682923
Higher, XYZ, Gasoline, Higher, 159.505798654
Higher, XYZ, Ngas, XYZ, 158.417589771
Higher, XYZ, Ngas, Shadow, 158.702284694
Higher, XYZ, Ngas, Higher, 157.605682028
Higher, Shadow, Coal, XYZ, 168.152808163
Higher, Shadow, Coal, Shadow, 168.44540406
Higher, Shadow, Coal, Higher, 167.866714396
Higher, Shadow, Gasoline, XYZ, 166.130645405
Higher, Shadow, Gasoline, Shadow, 165.489394697
Higher, Shadow, Gasoline, Higher, 164.881894025
Higher, Shadow, Ngas, XYZ, 163.818854389
Higher, Shadow, Ngas, Shadow, 164.096964587
Higher, Shadow, Ngas, Higher, 163.025725308
Higher, Higher, Coal, XYZ, 175.600711731
Higher, Higher, Coal, Shadow, 175.929131346
Higher, Higher, Coal, Higher, 175.27959033
Higher, Higher, Gasoline, XYZ, 173.330967283
Higher, Higher, Gasoline, Shadow, 172.611205617
Higher, Higher, Gasoline, Higher, 171.929326145
Higher, Higher, Ngas, XYZ, 170.736134201
Higher, Higher, Ngas, Shadow, 171.048294572
Higher, Higher, Ngas, Higher, 169.845899069
